# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS
1859	Mangareva	Mangareva	mang1401	1498	Two	rua	rua	POLLEX	321437	9		rua	r u a
3082	Sikaiana	Sikaiana	sika1261	1498	Two	lua	lua	POLLEX	70572	9			l u a
3303	North_Marquesan	Marquesan	nort2845	1498	Two	'ua	'ua	POLLEX	70367	9			ʔ u a
#
4424	Ra’ivavae	Ra'ivavae	aust1304	1741	above	Guʔa	Guʔa	Tamaititahio-1213-2015	291314	1382			ɢ u ʔ a
4617	Tuamotuan	Tuamotu	tuam1242	1741	above	ruŋa	ruŋa	POLLEX	62364	1382			r u ŋ a
761	Maori	Maori	maor1246	1741	above	i runga	i runga	Biggs-85-2005	62203	1382			i r u ŋ a
5139	Rurutuan	Rurutuan	aust1304	1741	above	nuʔa	nuʔa	Meyer-128-2005	62246	1382			n u ʔ a
1206	Tahitian	Tahitian (Modern)	tahi1242	1741	above	ni'a	ni'a	Clark-173-2005	62291	1382			n i ʔ a
5650	Hawaiian	Hawaiian	hawa1245	1741	above	i luna	i luna	71458	62170	1382			i l u n a
1630	Rapanui	Rapanui (Easter Island)	rapa1244	1741	above	ruga	ruga	POLLEX	133515	1382		ruŋa	r u g a
1883	Mangareva	Mangareva	mang1401	1741	above	runga	runga	POLLEX	321572	1382		ruga	r u ŋ a
3332	North_Marquesan	Marquesan	nort2845	1741	above	'una	'una	POLLEX	120848	1382		'uka	ʔ u n a
#
4407	Ra’ivavae	Ra'ivavae	aust1304	98	all	ʔatoʔa	ʔatoʔa	Tamaititahio-1213-2015	291325	293			ʔ a t o ʔ a
4601	Tuamotuan	Tuamotu	tuam1242	98	all	katoŋa	katoŋa	POLLEX	135644	293			k a t o ŋ a
739	Maori	Maori	maor1246	98	all	katoa	katoa	Biggs-85-2005	67915	293			k a t o a
5116	Rurutuan	Rurutuan	aust1304	98	all	paaʔaatoʔa	paaʔaatoʔa	Meyer-128-2005	118895	293		atoʔa	p aː ʔ aː t o ʔ a
1184	Tahitian	Tahitian (Modern)	tahi1242	98	all	ato'a	ato'a	Clark-173-2005	68003	293			a t o ʔ a
5627	Hawaiian	Hawaiian	hawa1245	98	all	apau	apau	71458	67882	1075			a p a u
1612	Rapanui	Rapanui (Easter Island)	rapa1244	98	all	tahi	tahi	POLLEX	130632	410			t a h i
1865	Mangareva	Mangareva	mang1401	98	all	kouroa	kouroa	POLLEX	321443	469			k o u r o a
3090	Sikaiana	Sikaiana	sika1261	98	all	katoa	katoa	POLLEX	68073	293			k a t o a
3311	North_Marquesan	Marquesan	nort2845	98	all	tiatohu	tiatohu	POLLEX	67868	715			t i a t o h u
#
4406	Ra’ivavae	Ra'ivavae	aust1304	1577	and	e	e	Tamaititahio-1213-2015	291326	1313			e
737	Maori	Maori	maor1246	1577	and	hoki	hoki	Biggs-85-2005	82496	1276			h o k i
738	Maori	Maori	maor1246	1577	and	me	me	Biggs-85-2005	82495	520			m e
5115	Rurutuan	Rurutuan	aust1304	1577	and	ʔee	ʔee	Meyer-128-2005	68315	1313			ʔ eː
1183	Tahitian	Tahitian (Modern)	tahi1242	1577	and	'ee	'ee	Clark-173-2005	68360	1313			ʔ eː
5626	Hawaiian	Hawaiian	hawa1245	1577	and	a me	a me	71458	82488	520		a	a m e
1608	Rapanui	Rapanui (Easter Island)	rapa1244	1577	and	piri	piri	POLLEX	167986	409			p i r i
1609	Rapanui	Rapanui (Easter Island)	rapa1244	1577	and	pe	pe	POLLEX	167985	603			p e
1610	Rapanui	Rapanui (Easter Island)	rapa1244	1577	and	ma	ma	POLLEX	167984	520		me	m a
